Pclass,Sex,Age,Fare,Embarked,AgeGroup,FareCategory
3,0,22.0,-0.5021631365156053,S,Adult,
1,1,38.0,0.7864036178345383,C,Adult,Low
3,1,26.0,-0.48857985158126105,S,Adult,
1,1,35.0,0.4204940697654092,S,Adult,Low
3,0,35.0,-0.48606442844527137,S,Adult,
3,0,,-0.4778480503138746,Q,,
1,0,54.0,0.3955913807191113,S,Adult,Low
3,0,2.0,-0.22395733767514675,S,Child,
3,1,27.0,-0.42401799520369554,S,Adult,
2,1,14.0,-0.04293139010125909,C,Child,
3,1,4.0,-0.3119971474347855,S,Child,
1,1,58.0,-0.11378180431879875,S,Adult,
3,0,20.0,-0.48606442844527137,S,Adult,
3,0,39.0,-0.01869880977838891,S,Adult,
3,1,14.0,-0.4900045872454856,S,Child,
2,1,55.0,-0.32608351699632776,S,Adult,
3,0,2.0,-0.061964087717411374,Q,Child,
2,0,,-0.38645367226008004,S,,
3,1,31.0,-0.28583674682049287,S,Adult,
3,1,,-0.5026662211428032,C,,
2,0,35.0,-0.12484966611715337,S,Adult,
2,0,34.0,-0.38645367226008004,S,Adult,
3,1,15.0,-0.48648299485510005,Q,Child,
1,0,28.0,0.06632249221806229,S,Adult,Low
3,1,8.0,-0.22395733767514675,S,Child,
3,1,38.0,-0.016434928955998185,S,Adult,
3,0,,-0.5026662211428032,C,,
1,0,19.0,4.644392599719279,S,Adult,Low
3,1,,-0.4895015026182876,Q,,
3,0,,-0.4891674544258282,S,,
1,0,40.0,-0.09022134505786503,C,Adult,
1,1,,2.300436803386727,C,,Low
3,1,,-0.49210144397164657,Q,,
2,0,66.0,-0.43676213497987365,S,Elderly,
1,0,28.0,1.0054969729792393,C,Adult,Low
1,0,42.0,0.39835834616870003,S,Adult,Low
3,0,,-0.502581702925434,C,,
3,0,21.0,-0.48606442844527137,S,Adult,
3,1,18.0,-0.28583674682049287,S,Adult,
3,1,14.0,-0.4218366202601652,C,Child,
3,1,40.0,-0.457388604694989,S,Adult,
2,1,27.0,-0.22546659155674054,S,Adult,
3,0,,-0.4891674544258282,C,,
2,1,3.0,0.18865657484452997,C,Child,Low
3,1,19.0,-0.4895015026182876,Q,Adult,
3,0,,-0.48606442844527137,S,,
3,0,,-0.3361452095402864,Q,,
3,1,,-0.49210144397164657,Q,,
3,0,,-0.211798788405027,C,,
3,1,18.0,-0.28986142383807634,S,Adult,
3,0,7.0,0.15058916727371655,S,Child,Low
3,0,21.0,-0.49109527471725073,S,Adult,
1,1,49.0,0.895993560684828,C,Adult,Low
2,1,29.0,-0.12484966611715337,S,Adult,
1,0,65.0,0.5991736306380456,C,Elderly,Low
1,0,,0.06632249221806229,S,,Low
2,1,21.0,-0.43676213497987365,S,Adult,
3,0,28.5,-0.502581702925434,C,Adult,
2,1,5.0,-0.08963374221329785,S,Child,
3,0,11.0,0.29572908222032107,S,Child,Low
3,0,22.0,-0.502581702925434,C,Adult,
1,1,38.0,0.9618131286303883,,Adult,Low
1,0,45.0,1.0317418918109011,S,Adult,Low
3,0,4.0,-0.08661523445011025,S,Child,
1,0,,-0.09022134505786503,C,,
3,0,,-0.34126057402963506,C,,
2,1,29.0,-0.43676213497987365,S,Adult,
3,0,19.0,-0.4838850658402499,S,Adult,
3,1,17.0,-0.48857985158126105,S,Child,
3,0,26.0,-0.4737388550789219,S,Adult,
2,0,32.0,-0.43676213497987365,S,Adult,
3,1,16.0,0.29572908222032107,S,Child,Low
2,0,21.0,0.8310111255589249,S,Adult,Low
3,0,26.0,-0.3571902456652305,C,Adult,
3,0,32.0,0.48882906084695926,S,Adult,Low
3,0,25.0,-0.49411378248043836,S,Adult,
3,0,,-0.4891674544258282,S,,
3,0,,-0.48606442844527137,S,,
2,0,0.83,-0.06447951085340105,S,Child,
3,1,30.0,-0.39701844943123665,S,Adult,
3,0,22.0,-0.4669472126117498,S,Adult,
3,0,29.0,-0.4568855200677911,S,Adult,
3,1,,-0.49134681703084965,Q,,
1,0,28.0,0.2997537592379046,S,Adult,Low
2,1,17.0,-0.43676213497987365,S,Child,
3,1,33.0,-0.32910202475951533,S,Adult,
3,0,16.0,0.043683683994155176,S,Child,Low
3,0,,-0.48606442844527137,S,,
1,1,23.0,4.644392599719279,S,Adult,Low
3,0,24.0,-0.48606442844527137,S,Adult,
3,0,29.0,-0.48606442844527137,S,Adult,
3,0,20.0,-0.4900045872454856,S,Adult,
1,0,46.0,0.5829904043503424,S,Adult,Low
3,0,26.0,-0.23401903021910547,S,Adult,
3,0,59.0,-0.5021631365156053,S,Adult,
3,0,,-0.48606442844527137,S,,
1,0,71.0,0.04930213311070178,C,Elderly,Low
1,0,23.0,0.6269257910127927,C,Adult,Low
2,1,34.0,-0.18521982138090567,S,Adult,
2,0,34.0,-0.12484966611715337,S,Adult,
3,1,28.0,-0.4891674544258282,S,Adult,
3,0,,-0.4891674544258282,S,,
1,0,21.0,0.907228446579412,S,Adult,Low
3,0,33.0,-0.47390587917515165,S,Adult,
3,0,37.0,-0.48857985158126105,S,Adult,
3,0,28.0,-0.4891674544258282,S,Adult,
3,1,21.0,-0.49411378248043836,S,Adult,
3,0,,-0.4915983593444487,S,,
3,0,38.0,-0.4891674544258282,S,Adult,
3,1,,-0.16207792852980066,Q,,
1,0,47.0,0.39835834616870003,S,Adult,Low
3,1,14.5,-0.3571902456652305,C,Child,
3,0,22.0,-0.48606442844527137,S,Adult,
3,1,20.0,-0.45034541991421795,S,Adult,
3,1,17.0,-0.35710773978637,C,Child,
3,0,21.0,-0.48857985158126105,S,Adult,
3,0,70.5,-0.49210144397164657,Q,Elderly,
2,0,29.0,-0.22546659155674054,S,Adult,
1,0,24.0,4.332898697266388,C,Adult,Low
3,1,2.0,-0.01869880977838891,S,Child,
2,0,21.0,0.8310111255589249,S,Adult,Low
3,0,,-0.48606442844527137,S,,
2,0,32.5,-0.04293139010125909,C,Adult,
2,1,32.5,-0.38645367226008004,S,Adult,
1,0,54.0,0.907228446579412,S,Adult,Low
3,0,12.0,-0.4218366202601652,C,Child,
3,0,,-0.49210144397164657,Q,,
3,0,24.0,-0.5043424991206268,S,Adult,
3,1,,-0.1981329975918223,C,,
3,0,45.0,-0.5076970674147826,S,Adult,
3,0,33.0,-0.4891674544258282,C,Adult,
3,0,20.0,-0.5061878135331888,S,Adult,
3,1,47.0,-0.35626859462820387,S,Adult,
2,1,29.0,-0.12484966611715337,S,Adult,
2,0,25.0,-0.38645367226008004,S,Adult,
2,0,23.0,-0.3452852510472186,C,Adult,
1,1,19.0,-0.11914871112174634,S,Adult,
1,0,37.0,0.4204940697654092,S,Adult,Low
3,0,16.0,-0.4625864750631981,S,Child,
1,0,24.0,0.9457144205600544,C,Adult,Low
3,1,,-0.34126057402963506,C,,
3,1,22.0,-0.49210144397164657,S,Adult,
3,1,24.0,-0.32910202475951533,S,Adult,
3,0,19.0,-0.512224829059564,Q,Adult,
2,0,18.0,-0.4166387498919562,S,Adult,
2,0,19.0,0.0914767235779591,S,Adult,Low
3,0,27.0,-0.49117979293462,S,Adult,
3,1,9.0,0.043683683994155176,S,Child,Low
2,0,36.5,-0.12484966611715337,S,Adult,
2,0,42.0,-0.38645367226008004,S,Adult,
2,0,51.0,-0.39601228017684087,S,Adult,
1,1,22.0,0.6921597684522944,S,Adult,Low
3,0,55.5,-0.48606442844527137,S,Adult,
3,0,40.5,-0.35626859462820387,S,Adult,
3,0,,-0.5009054249476105,S,,
1,0,51.0,0.5870995995852952,C,Adult,Low
3,1,16.0,-0.4924375045026148,Q,Child,
3,0,30.0,-0.48606442844527137,S,Adult,
3,0,,-0.4737388550789219,S,,
3,0,,0.751523754461651,S,,Low
3,0,44.0,-0.32407117848753597,S,Adult,
2,1,40.0,-0.33111436326830707,S,Adult,
3,0,26.0,-0.4915983593444487,S,Adult,
3,0,17.0,-0.4737388550789219,S,Child,
3,0,1.0,0.15058916727371655,S,Child,Low
3,0,9.0,-0.23502519947350137,S,Child,
1,1,,0.4587285014324523,S,,Low
3,1,45.0,-0.08661523445011025,S,Adult,
1,0,,-0.12635891999874715,S,,
3,0,28.0,0.48882906084695926,S,Adult,Low
1,0,61.0,0.026075722042227415,S,Adult,Low
3,0,4.0,-0.061964087717411374,Q,Child,
3,1,1.0,-0.42401799520369554,S,Child,
3,0,21.0,-0.48857985158126105,S,Adult,
1,0,56.0,-0.03035427442131069,C,Adult,
3,0,18.0,-0.4900045872454856,S,Adult,
3,0,,-0.13558146738453974,S,,
1,1,50.0,-0.07026498406617734,C,Adult,
2,0,30.0,-0.38645367226008004,S,Adult,
3,0,36.0,-0.6480576784030068,S,Adult,
3,1,,0.751523754461651,S,,Low
2,0,,-0.3452007328298493,C,,
3,0,9.0,-0.016434928955998185,S,Child,
2,0,1.0,0.13675434002577333,S,Child,Low
3,1,4.0,-0.2048401218416252,S,Child,
1,0,,0.35811157599286514,S,,Low
3,1,,-0.3361452095402864,Q,,
1,0,45.0,-0.11378180431879875,S,Adult,
3,0,40.0,-0.3361452095402864,Q,Adult,
3,0,36.0,-0.4891674544258282,S,Adult,
2,1,32.0,-0.38645367226008004,S,Adult,
2,0,19.0,-0.38645367226008004,S,Adult,
3,1,19.0,-0.4900045872454856,S,Adult,
2,0,3.0,-0.12484966611715337,S,Child,
1,1,44.0,-0.09022134505786503,C,Adult,
1,1,58.0,2.300436803386727,C,Adult,Low
3,0,,-0.49210144397164657,Q,,
3,0,42.0,-0.478936725447131,S,Adult,
3,1,,-0.49210144397164657,Q,,
2,1,24.0,-0.38645367226008004,S,Adult,
3,0,28.0,-0.4568855200677911,S,Adult,
3,0,,0.751523754461651,S,,Low
3,0,34.0,-0.5173401935489127,S,Adult,
3,0,45.5,-0.5026662211428032,C,Adult,
3,0,18.0,-0.48606442844527137,S,Adult,
3,1,2.0,-0.43751676192067057,S,Child,
3,0,32.0,-0.32910202475951533,S,Adult,
3,0,26.0,-0.26998958106375787,C,Adult,
3,1,16.0,-0.49210144397164657,Q,Child,
1,0,40.0,-0.024232740677566176,C,Adult,
3,0,24.0,-0.5061878135331888,S,Adult,
2,1,35.0,-0.22546659155674054,S,Adult,
3,0,22.0,-0.5021631365156053,S,Adult,
2,0,30.0,-0.38645367226008004,S,Adult,
3,0,,-0.49210144397164657,Q,,
1,1,31.0,1.6314187674308411,C,Adult,Low
3,1,27.0,-0.48857985158126105,S,Adult,
2,0,42.0,-0.10472628102923592,S,Adult,
1,1,32.0,0.8871895797088641,C,Adult,Low
2,0,30.0,-0.43676213497987365,S,Adult,
3,0,16.0,-0.48606442844527137,S,Child,
2,0,27.0,-0.38645367226008004,S,Adult,
3,0,51.0,-0.48606442844527137,S,Adult,
3,0,,-0.4891674544258282,S,,
1,0,38.0,1.1630469795095626,S,Adult,Low
3,0,22.0,-0.45990402783097867,S,Adult,
2,0,19.0,-0.43676213497987365,S,Adult,
3,0,20.5,-0.5021631365156053,S,Adult,
2,0,18.0,-0.38645367226008004,S,Adult,
3,1,,-0.13558146738453974,S,,
1,1,35.0,1.0317418918109011,S,Adult,Low
3,0,29.0,-0.4915983593444487,S,Adult,
2,0,59.0,-0.3763919797161213,S,Adult,
3,1,5.0,-0.016434928955998185,S,Child,
2,0,24.0,-0.43676213497987365,S,Adult,
3,1,,-0.4961261209892301,S,,
2,0,44.0,-0.12484966611715337,S,Adult,
2,1,8.0,-0.11981881984517401,S,Child,
2,0,19.0,-0.43676213497987365,S,Adult,
2,0,33.0,-0.40104312644882023,S,Adult,
3,1,,-0.3571902456652305,C,,
3,1,,-0.3361452095402864,Q,,
2,0,29.0,-0.43676213497987365,S,Adult,
3,0,22.0,-0.504678559651595,S,Adult,
3,0,30.0,-0.5026662211428032,C,Adult,
1,0,44.0,1.1630469795095626,Q,Adult,Low
3,1,25.0,-0.4915983593444487,S,Adult,
2,1,24.0,-0.35626859462820387,S,Adult,
1,0,37.0,0.40951072618442386,S,Adult,Low
2,0,54.0,-0.12484966611715337,S,Adult,
3,0,,-0.5021631365156053,S,,
3,1,29.0,-0.43751676192067057,S,Adult,
1,0,62.0,-0.11378180431879875,S,Adult,
3,0,30.0,-0.32407117848753597,S,Adult,
3,1,41.0,-0.24131375731347557,S,Adult,
3,1,29.0,-0.34126057402963506,C,Adult,
1,1,,0.9457144205600544,C,,Low
1,1,30.0,1.0926151317018515,S,Adult,Low
1,1,35.0,9.661740104981664,C,Adult,Low
2,1,50.0,-0.12484966611715337,S,Adult,
3,0,,-0.49210144397164657,Q,,
3,0,3.0,-0.016434928955998185,S,Child,
1,0,52.0,0.9547699438496172,S,Adult,Low
1,0,40.0,-0.6480576784030068,S,Adult,
3,1,,-0.49210144397164657,Q,,
2,0,36.0,-0.43676213497987365,S,Adult,
3,0,16.0,0.15058916727371655,S,Child,Low
3,0,25.0,-0.4915983593444487,S,Adult,
1,1,58.0,2.440127305651523,S,Adult,Low
1,1,35.0,2.081343448242025,S,Adult,Low
1,0,,-0.024232740677566176,S,,
3,0,25.0,-0.6480576784030068,S,Adult,
2,1,41.0,-0.2556516691886167,S,Adult,
1,0,37.0,-0.05039314129185886,C,Adult,
3,1,,-0.49210144397164657,Q,,
1,1,63.0,0.9207272132963871,S,Adult,Low
3,1,45.0,-0.49210144397164657,S,Adult,
2,0,,-0.6480576784030068,S,,
3,0,7.0,-0.061964087717411374,Q,Child,
3,1,35.0,-0.24055913037267862,S,Adult,
3,0,65.0,-0.49210144397164657,Q,Elderly,
3,0,28.0,-0.4900045872454856,S,Adult,
3,0,16.0,-0.4568855200677911,S,Child,
3,0,19.0,-0.48606442844527137,S,Adult,
1,0,,-0.12484966611715337,S,,
3,0,33.0,-0.4737388550789219,C,Adult,
3,0,30.0,-0.4568855200677911,S,Adult,
3,0,22.0,-0.4891674544258282,S,Adult,
2,0,42.0,-0.38645367226008004,S,Adult,
3,1,22.0,-0.49210144397164657,Q,Adult,
1,1,26.0,0.938671235779283,S,Adult,Low
1,1,19.0,1.1847641366964432,C,Adult,Low
2,0,36.0,-0.3889690953960697,C,Adult,
3,1,24.0,-0.4699657203749374,S,Adult,
3,0,24.0,-0.4891674544258282,S,Adult,
1,0,,-0.09022134505786503,C,,
3,0,23.5,-0.502581702925434,C,Adult,
1,1,2.0,2.401641331670881,S,Child,Low
1,0,,-0.034294433221524895,S,,
1,1,50.0,4.332898697266388,C,Adult,Low
3,1,,-0.49210144397164657,Q,,
3,0,,-0.1801889751089263,Q,,
3,0,19.0,-0.6480576784030068,S,Adult,
2,1,,-0.39953387256722633,Q,,
3,0,,-0.48606442844527137,S,,
1,0,0.92,2.401641331670881,S,Child,Low
1,1,,1.583289667316069,C,,Low
1,1,17.0,1.5433789576712023,C,Child,Low
2,0,30.0,-0.16509643629298823,C,Adult,
1,1,30.0,0.4975505359440627,C,Adult,Low
1,1,24.0,1.0253688157535579,C,Adult,Low
1,1,18.0,4.631815484039331,C,Adult,Low
2,1,26.0,-0.12484966611715337,S,Adult,
3,0,28.0,-0.4891674544258282,S,Adult,
2,0,43.0,-0.11981881984517401,S,Adult,
3,1,26.0,-0.4900045872454856,S,Adult,
2,1,24.0,-0.12484966611715337,S,Adult,
2,0,54.0,-0.3663302871721626,S,Adult,
1,1,31.0,2.669618413871151,S,Adult,Low
1,1,40.0,2.0585376159218884,C,Adult,Low
3,0,22.0,-0.5021631365156053,S,Adult,
3,0,27.0,-0.4891674544258282,S,Adult,
2,1,30.0,-0.39953387256722633,Q,Adult,
2,1,22.0,-0.06447951085340105,S,Adult,
3,0,,0.751523754461651,S,,Low
1,1,36.0,2.081343448242025,C,Adult,Low
3,0,61.0,-0.5225380639171217,S,Adult,
2,1,36.0,-0.38645367226008004,S,Adult,
3,1,31.0,-0.23502519947350137,S,Adult,
1,1,16.0,0.518680090286376,C,Child,Low
3,1,,-0.1801889751089263,Q,,
1,0,45.5,-0.07454120339735977,S,Adult,
1,0,38.0,2.440127305651523,S,Adult,Low
3,0,16.0,-0.28583674682049287,S,Child,
1,1,,2.041432738597159,S,,Low
3,0,,-0.4891674544258282,S,,
1,0,29.0,0.6921597684522944,S,Adult,Low
1,1,41.0,2.0585376159218884,C,Adult,Low
3,0,45.0,-0.48606442844527137,S,Adult,
1,0,45.0,0.06632249221806229,S,Adult,Low
2,0,2.0,-0.12484966611715337,S,Child,
1,1,24.0,4.644392599719279,S,Adult,Low
2,0,28.0,-0.38645367226008004,S,Adult,
2,0,25.0,-0.38645367226008004,S,Adult,
2,0,36.0,-0.38645367226008004,S,Adult,
2,1,24.0,-0.38645367226008004,S,Adult,
2,1,40.0,-0.38645367226008004,S,Adult,
3,1,,-0.32407117848753597,S,,
3,0,3.0,-0.3280958555051195,S,Child,
3,0,42.0,-0.4737388550789219,S,Adult,
3,0,23.0,-0.46241945096696835,S,Adult,
1,0,,0.05626079967410357,S,,Low
3,0,15.0,-0.502581702925434,C,Child,
3,0,25.0,-0.28986142383807634,S,Adult,
3,0,,-0.5026662211428032,C,,
3,0,28.0,-0.4568855200677911,S,Adult,
1,1,22.0,0.4587285014324523,S,Adult,Low
2,1,38.0,-0.38645367226008004,S,Adult,
3,1,,-0.4895015026182876,Q,,
3,1,,-0.4895015026182876,Q,,
3,0,40.0,-0.08661523445011025,S,Adult,
2,0,29.0,-0.09022134505786503,C,Adult,
3,1,45.0,-0.3571902456652305,C,Adult,
3,0,35.0,-0.5061878135331888,S,Adult,
3,0,,-0.3361452095402864,Q,,
3,0,30.0,-0.5021631365156053,S,Adult,
1,1,60.0,0.8662270494627804,C,Adult,Low
3,1,,-0.502581702925434,C,,
3,1,,-0.49210144397164657,Q,,
1,1,24.0,0.7464929081896716,C,Adult,Low
1,0,25.0,0.4676170006257854,C,Adult,Low
3,0,18.0,-0.5173401935489127,S,Adult,
3,0,19.0,-0.48606442844527137,S,Adult,
1,0,22.0,2.081343448242025,C,Adult,Low
3,1,3.0,-0.22395733767514675,S,Child,
1,1,,1.0054969729792393,C,,Low
3,1,22.0,-0.5021631365156053,S,Adult,
1,0,27.0,3.6080382676915317,C,Adult,Low
3,0,20.0,-0.5673125957377381,C,Adult,
3,0,19.0,-0.4915983593444487,S,Adult,
1,1,42.0,3.930515513725408,C,Adult,Low
3,1,1.0,-0.3312813873645368,C,Child,
3,0,32.0,-0.48857985158126105,S,Adult,
1,1,35.0,0.39835834616870003,S,Adult,Low
3,0,,-0.4891674544258282,S,,
2,0,18.0,0.8310111255589249,S,Adult,Low
3,0,1.0,0.29572908222032107,S,Child,Low
2,1,36.0,-0.38645367226008004,S,Adult,
3,0,,-0.4925200103814753,Q,,
2,1,17.0,-0.4065770573479975,C,Child,
1,0,36.0,1.7667485321470857,S,Adult,Low
3,0,21.0,-0.49117979293462,S,Adult,
3,0,28.0,-0.48857985158126105,S,Adult,
1,1,23.0,1.6314187674308411,C,Adult,Low
3,1,24.0,-0.3119971474347855,S,Adult,
3,0,22.0,-0.49117979293462,S,Adult,
3,1,31.0,-0.4900045872454856,S,Adult,
2,0,46.0,-0.12484966611715337,S,Adult,
2,0,23.0,-0.43676213497987365,S,Adult,
2,1,28.0,-0.3934968570408512,S,Adult,
3,0,39.0,-0.48857985158126105,S,Adult,
3,0,26.0,-0.48606442844527137,S,Adult,
3,1,21.0,-0.45034541991421795,S,Adult,
3,0,28.0,-0.32910202475951533,S,Adult,
3,1,20.0,-0.4737388550789219,S,Adult,
2,0,34.0,-0.22546659155674054,S,Adult,
3,0,51.0,-0.49210144397164657,S,Adult,
2,0,3.0,-0.2707442080045548,S,Child,
3,0,21.0,-0.4915983593444487,S,Adult,
3,1,,-0.13558146738453974,S,,
3,0,,-0.4891674544258282,S,,
3,0,,-0.5100454664545425,Q,,
1,1,33.0,1.1630469795095626,Q,Adult,Low
2,0,,-0.6480576784030068,S,,
3,0,44.0,-0.48857985158126105,S,Adult,
3,1,,-0.48606442844527137,S,,
2,1,34.0,0.005952336954309979,S,Adult,Low
2,1,18.0,-0.38645367226008004,S,Adult,
2,0,30.0,-0.38645367226008004,S,Adult,
3,1,10.0,-0.16207792852980066,S,Child,
3,0,,-0.4891674544258282,C,,
3,0,21.0,-0.4924375045026148,Q,Adult,
3,0,29.0,-0.4895860208356569,S,Adult,
3,1,28.0,-0.35828093313699566,S,Adult,
3,0,18.0,-0.24131375731347557,S,Adult,
3,0,,-0.5021631365156053,S,,
2,1,28.0,-0.12484966611715337,S,Adult,
2,1,19.0,-0.12484966611715337,S,Adult,
3,0,,-0.49210144397164657,Q,,
3,0,32.0,-0.48606442844527137,S,Adult,
1,0,28.0,-0.11378180431879875,S,Adult,
3,1,,-0.32407117848753597,S,,
2,1,42.0,-0.12484966611715337,S,Adult,
3,0,17.0,-0.504678559651595,S,Child,
1,0,50.0,0.47683954801157796,S,Adult,Low
1,1,14.0,1.7667485321470857,S,Child,Low
3,1,21.0,0.043683683994155176,S,Adult,Low
2,1,24.0,-0.2707442080045548,S,Adult,
1,0,64.0,4.644392599719279,S,Adult,Low
2,0,31.0,-0.43676213497987365,S,Adult,
2,1,45.0,-0.11981881984517401,S,Adult,
3,0,20.0,-0.4568855200677911,S,Adult,
3,0,25.0,-0.4915983593444487,S,Adult,
2,1,28.0,-0.38645367226008004,S,Adult,
3,0,,-0.4848067168772765,S,,
